,subject,condition,stimulus,memory_condition,phase,buttonPressedCertainty,Low,High,Low_and_High
10488,124,CS-,animals/deer.jpg,New,4,3,0,0,0
10489,124,CS-,animals/vulture.jpg,New,4,2,1,0,1
10490,124,CS-,animals/salmon.jpg,Old,3,2,1,0,1
10491,124,CS+,tools/watch.jpg,New,4,4,0,0,0
10492,124,CS+,tools/clippers.jpg,New,4,4,0,0,0
10493,124,CS+,tools/compass.jpg,New,4,4,0,0,0
10494,124,CS+,tools/vacuumcleaner.jpg,New,4,4,0,0,0
10495,124,CS+,tools/blower.jpg,Old,3,3,0,0,0
10496,124,CS+,tools/routerplane.jpg,Old,2,2,1,0,1
10497,124,CS-,animals/seal.jpg,Old,2,3,0,0,0
10498,124,CS-,animals/anteater.jpg,Old,2,2,1,0,1
10499,124,CS-,animals/snapper.jpg,Old,1,1,0,1,1
10500,124,CS-,animals/rabbit.jpg,Old,2,3,0,0,0
10501,124,CS-,animals/hummingbird.jpg,Old,1,1,0,1,1
10502,124,CS-,animals/cranebug.jpg,Old,3,1,0,1,1
10503,124,CS+,tools/hourglass.jpg,New,4,3,0,0,0
10504,124,CS+,tools/rake.jpg,Old,1,1,0,1,1
10505,124,CS-,animals/leopard.jpg,Old,1,1,0,1,1
10506,124,CS-,animals/dockbug2.jpg,New,4,3,0,0,0
10507,124,CS-,animals/kangaroo.jpg,New,4,2,1,0,1
10508,124,CS-,animals/ibises.jpg,New,4,3,0,0,0
10509,124,CS-,animals/racoon.jpg,Old,3,2,1,0,1
10510,124,CS-,animals/clam.jpg,New,4,3,0,0,0
10511,124,CS-,animals/carp.jpg,Old,2,2,1,0,1
10512,124,CS+,tools/vicegrips.jpg,New,4,3,0,0,0
10513,124,CS+,tools/weedeater.jpg,Old,2,3,0,0,0
10514,124,CS+,tools/tape.jpg,New,4,4,0,0,0
10515,124,CS+,tools/squeegee.jpg,Old,3,4,0,0,0
10516,124,CS+,tools/toaster.jpg,Old,3,2,1,0,1
10517,124,CS+,tools/stove.jpg,Old,1,4,0,0,0
10518,124,CS+,tools/measuringdevice.jpg,Old,2,4,0,0,0
