trial,phase,object,toShock,seenBefore,shockedCategory,responseSide,filename,num,name,onsetFixationCross,onsetForcedChoiceOptions,onsetCertaintyOptions,interTrialTime,wasShocked,buttonPressedForcedChoice,forcedChoiceRT,buttonPressedCertainty,certaintyRT
149,3,tool,0,1,animals,1,t_232.png,232,tbd,712.047371838396,714.265854517596,715.183248289441,1.14558845282424,0,2,0.875548780390091,1,2.63723421752366
150,1,tool,0,1,animals,1,t_349.png,349,tbd,717.835419205148,720.587657984323,721.555105275575,1.64083444368802,0,1,0.921968388542155,3,0.73754402886334
151,4,tool,0,0,animals,1,t_321.png,321,tbd,722.305720484141,724.857782352436,727.760131741805,1.45280753164884,0,2,2.86807602199588,1,1.2587351600032
152,4,animal,0,0,animals,1,a_021.png,21,tbd,729.027836068291,731.57992504188,733.314677375303,1.45482453938118,0,2,1.68014049706107,1,0.485427889845596
153,4,animal,0,0,animals,1,a_148.png,148,tbd,733.815066967012,736.467227937535,737.451360645075,1.55685505076766,0,2,0.946959636494285,3,0.615873700742668
154,1,tool,0,1,animals,1,t_301.png,301,tbd,738.085202294633,740.670649667511,742.522152803815,1.49206700738413,0,2,1.80579027923341,1,1.6623598124479
155,3,tool,0,1,animals,1,t_183.png,183,tbd,744.190175143633,747.092527401172,748.160067184312,1.81797528323918,0,1,1.02131355479651,4,0.412580041764159
156,1,animal,0,1,animals,1,a_106.png,106,tbd,748.577075677527,751.312625330316,753.531103548899,1.64112269743627,0,1,2.17119985512545,4,0.550715889614366
157,3,animal,0,1,animals,1,a_141.png,141,tbd,754.098231712265,756.533545623399,757.234111454851,1.35173023880994,0,1,0.653421576018445,4,0.463834014466556
158,3,animal,0,1,animals,1,a_168.png,168,tbd,757.717837715263,760.303274517526,761.854536739524,1.4945876251592,0,2,1.50286890030475,3,2.64772203505709
159,2,tool,0,1,animals,1,t_224.png,224,tbd,764.506668016427,767.375689384899,768.393182761727,1.76573159222228,0,1,0.972691433751606,2,1.05124625180906
160,2,animal,0,1,animals,1,a_134.png,134,tbd,769.460724567096,772.179593712444,773.680810892856,1.62359204049107,0,2,1.45499669803394,2,0.619802897261252
161,2,tool,0,1,animals,1,t_244.png,244,tbd,774.314666529659,776.716610304211,777.717429585889,1.31401725228178,0,1,0.948211923732742,3,1.17636134186978
162,4,animal,0,0,animals,1,a_060.png,60,tbd,778.901725763117,781.320367628596,782.004246983732,1.31657164820547,0,2,0.629541940237687,2,2.92675078042521
163,4,tool,0,0,animals,1,t_233.png,233,tbd,784.939968363524,787.191799940247,789.827282330145,1.16007379405062,0,1,2.58340251555273,1,0.465805418716627
164,4,tool,0,0,animals,1,t_291.png,291,tbd,790.310998593253,792.863073554741,793.613688594927,1.46727168677756,0,2,0.697288567636861,3,0.852699524286436
165,2,animal,0,1,animals,1,a_124.png,124,tbd,794.48105484292,796.799615610609,798.884639969612,1.22532896460369,0,1,2.0459268657396,3,0.326918926431972
166,3,animal,0,1,animals,1,a_016.png,16,tbd,799.218239854115,802.153962623495,806.207244914029,1.84439756968951,0,1,4.01288263897732,1,0.148605175825651
167,1,tool,0,1,animals,1,t_215.png,215,tbd,806.374037023535,809.126300630789,810.293919883181,1.6614057477329,0,1,1.11465007837251,4,0.677090825833147
168,1,tool,0,1,animals,1,t_316.png,316,tbd,810.977807033778,813.830127973168,814.347203718051,1.76815699983359,0,1,0.47302763996413,4,0.355933164169983
169,4,tool,0,0,animals,1,t_218.png,218,tbd,814.714177601585,817.099453334053,818.483902269232,1.31222086125285,0,2,1.34290148776199,1,0.377392132886598
170,4,tool,0,0,animals,1,t_220.png,220,tbd,818.867557135691,821.052547759813,822.78740611612,1.10484913669558,0,1,1.66990505288413,1,0.267054967687727
171,2,animal,0,1,animals,1,a_089.png,89,tbd,823.070964976243,825.956641243894,826.790659008107,1.79436793289282,0,1,0.779920691111329,4,1.06698479091938
172,4,tool,0,0,animals,1,t_322.png,322,tbd,827.874881225503,830.560388027323,830.960721422292,1.59660302791815,0,2,0.359426677787269,4,0.401055525278935
173,4,animal,0,0,animals,1,a_151.png,151,tbd,831.37773294084,833.529471623151,834.680399251436,1.06658147531365,0,2,1.10142007402101,3,1.61956216417093
174,3,animal,0,1,animals,1,a_145.png,145,tbd,836.315068619599,838.833781337791,839.567709746905,1.42596121701932,0,2,0.691341335237667,3,1.88239081947904
175,4,animal,0,0,animals,1,a_048.png,48,tbd,841.469262067083,843.754452641268,844.238173182981,1.20027308510694,0,2,0.440805872556666,4,0.746055326424539
176,4,tool,0,0,animals,1,t_340.png,340,tbd,844.98879016361,847.474136007095,848.658437927879,1.39710432378981,0,2,1.12928379526056,4,0.592009416934161
177,4,tool,0,0,animals,1,t_279.png,279,tbd,849.258933091041,852.177963319809,852.945270147673,1.81822675355097,0,2,0.714619079357362,4,0.447292847038625
178,4,animal,0,0,animals,1,a_034.png,34,tbd,853.4123070612,856.39806870764,859.133620567085,1.89387148602065,0,2,2.68577039768934,1,0.241246207711811
179,2,animal,0,1,animals,1,a_013.png,13,tbd,859.383829565075,862.286180512412,863.30368151631,1.81123393402931,0,1,0.978799645330582,2,2.76439604120242
180,4,tool,0,0,animals,1,t_267.png,267,tbd,866.072602857232,868.47455102425,869.341920058625,1.29446194694129,0,2,0.824653136576671,4,0.859318875624012
181,2,tool,0,1,animals,1,t_262.png,262,tbd,870.209302063511,872.594558133336,873.812235993591,1.29223622709193,0,1,1.17298517627933,3,0.919163715374452
182,3,tool,0,1,animals,1,t_329.png,329,tbd,874.7463201475,877.732077988421,879.466820813665,1.90367497240474,0,2,1.67949912535551,2,0.527778654362919
183,4,tool,0,0,animals,1,t_282.png,282,tbd,880.000586103495,882.435893211037,883.253233060954,1.33787682672101,0,2,0.76584350356643,4,0.753531555972586
184,4,animal,0,0,animals,1,a_059.png,59,tbd,884.02052728715,886.155599123722,886.82280367408,1.04738645658804,0,2,0.622263826953713,3,1.40312189428369
185,4,tool,0,0,animals,1,t_254.png,254,tbd,888.240617741569,890.42572632392,892.894406663938,1.0949058756427,0,1,2.4183908071318,1,0.170684532182349
186,3,tool,0,1,animals,1,t_273.png,273,tbd,893.077884089504,895.246317907968,895.68000370128,1.08800700127783,0,1,0.393882795018726,4,0.888236308393971
