"trial","phase","object","toShock","seenBefore","shockedCategory","filename","num","name","onsetFixationCross","onsetForcedChoiceOptions","onsetCertaintyOptions","interTrialTime","wasShocked","buttonPressedForcedChoice","forcedChoiceRT","buttonPressedCertainty","certaintyRT"
337,4,"animal",0,0,"tools","a_113.png",113,"tbd",769.54322372096,NA,NA,0.00584819428813832,0,"2",NA,"1",NA
338,1,"tool",0,1,"tools","t_356.png",356,"tbd",771.161071437908,NA,NA,0.985839780924544,0,"2",NA,"1",NA
339,2,"animal",0,1,"tools","a_120.png",120,"tbd",773.529454252338,NA,NA,0.0782983298512352,0,"1",NA,"4",NA
340,4,"tool",0,0,"tools","t_246.png",246,"tbd",774.997230529651,NA,NA,0.0912908891360456,0,"2",NA,"1",NA
341,4,"tool",0,0,"tools","t_283.png",283,"tbd",777.082078858051,NA,NA,0.866884007626283,0,"2",NA,"1",NA
342,1,"animal",0,1,"tools","a_074.png",74,"tbd",779.317046522053,NA,NA,0.478511860366311,0,"2",NA,"1",NA
343,4,"tool",0,0,"tools","t_289.png",289,"tbd",781.351841698369,NA,NA,0.410942330044693,0,"2",NA,"4",NA
344,4,"animal",0,0,"tools","a_176.png",176,"tbd",783.136424608466,NA,NA,0.956688864857955,0,"2",NA,"4",NA
345,4,"tool",0,0,"tools","t_232.png",232,"tbd",785.48825221284,NA,NA,0.541003309970852,0,"2",NA,"4",NA
346,2,"tool",0,1,"tools","t_199.png",199,"tbd",787.406302834524,NA,NA,0.0946392612594636,0,"1",NA,"1",NA
347,3,"tool",0,1,"tools","t_315.png",315,"tbd",789.107567599078,NA,NA,0.547238874872126,0,"1",NA,"4",NA
348,2,"animal",0,1,"tools","a_124.png",124,"tbd",791.22580345997,NA,NA,0.546421896767535,0,"1",NA,"4",NA
349,2,"tool",0,1,"tools","t_257.png",257,"tbd",793.160421110194,NA,NA,0.539567576365279,0,"1",NA,"4",NA
350,4,"tool",0,0,"tools","t_354.png",354,"tbd",795.028570665042,NA,NA,0.450932725900781,0,"2",NA,"4",NA
351,4,"animal",0,0,"tools","a_144.png",144,"tbd",796.863257422304,NA,NA,0.258125830012427,0,"2",NA,"4",NA
352,4,"animal",0,0,"tools","a_160.png",160,"tbd",798.481126288121,NA,NA,0.893449786582764,0,"1",NA,"1",NA
353,1,"animal",0,1,"tools","a_099.png",99,"tbd",800.732749308292,NA,NA,0.255139579536304,0,"1",NA,"4",NA
354,2,"animal",0,1,"tools","a_007.png",7,"tbd",802.317271073277,NA,NA,0.882736815586889,0,"1",NA,"1",NA
355,3,"tool",0,1,"tools","t_208.png",208,"tbd",804.585585216085,NA,NA,0.352920959589113,0,"1",NA,"4",NA
356,4,"animal",0,0,"tools","a_114.png",114,"tbd",806.153399685768,NA,NA,0.753483031950765,0,"2",NA,"4",NA
357,1,"tool",0,1,"tools","t_307.png",307,"tbd",808.254783941431,NA,NA,0.291591255692993,0,"1",NA,"1",NA
358,4,"tool",0,0,"tools","t_205.png",205,"tbd",809.972871387027,NA,NA,0.595761632196535,0,"2",NA,"1",NA
359,3,"tool",0,1,"tools","t_308.png",308,"tbd",812.174481064749,NA,NA,0.129377478106541,0,"1",NA,"4",NA
360,4,"tool",0,0,"tools","t_231.png",231,"tbd",813.6422290399,NA,NA,0.733429226379552,0,"1",NA,"1",NA
