"trial","phase","object","toShock","seenBefore","shockedCategory","responseSide","filename","num","name","onsetFixationCross","onsetForcedChoiceOptions","onsetCertaintyOptions","interTrialTime","wasShocked","buttonPressedForcedChoice","forcedChoiceRT","buttonPressedCertainty","certaintyRT"
62,4,"animal",0,0,"animals",1,"a_045.png",45,"tbd",192.061695135752,193.445909837848,193.662788725337,0.284398606720778,0,2,0.16621077486343,4,0.60539575484745
63,4,"tool",0,0,"animals",1,"t_224.png",224,"tbd",194.280002202347,195.747610807872,195.964457660855,0.378758385550804,0,1,0.164691157460766,3,0.451832289360937
64,4,"tool",0,0,"animals",1,"t_315.png",315,"tbd",196.431559623575,197.598979101114,197.915957108959,0.0745791592212717,0,2,0.26775238099799,4,0.551347635288948
65,2,"tool",0,1,"animals",1,"t_218.png",218,"tbd",198.483096300129,200.517808330143,202.169064844733,0.942703214024521,0,1,1.61461080683603,3,0.291364610466189
66,4,"animal",0,0,"animals",1,"a_006.png",6,"tbd",202.469336391592,204.103827663434,204.220529676911,0.54264427027883,0,1,0.0656672146224082,3,0.795201131232716
67,4,"tool",0,0,"animals",1,"t_272.png",272,"tbd",205.021258881774,207.005932703642,207.306061494794,0.895242447859873,0,2,0.24468069492923,-1,0.605781412968099
68,2,"tool",0,1,"animals",1,"t_336.png",336,"tbd",207.923401865766,209.140853642173,209.441096264673,0.132017043407126,0,1,0.251042498851348,3,0.282595864448922
69,1,"tool",0,1,"animals",1,"t_190.png",190,"tbd",209.74141415271,211.375821139591,211.742773597586,0.536065945041561,0,1,0.314935786005663,2,0.386993206767329
70,4,"animal",0,0,"animals",1,"a_094.png",94,"tbd",212.143200558447,213.727574313417,214.044505358056,0.482542465894245,0,1,0.270298035611631,2,0.351345022765599
71,4,"animal",0,0,"animals",1,"a_125.png",125,"tbd",214.411528727383,215.562286219026,216.195943349673,0.0435778397917618,0,2,0.56965737660812,4,0.602050481663355
72,4,"tool",0,0,"animals",1,"t_340.png",340,"tbd",216.813302381522,218.381013217551,218.664540670656,0.481721912906136,0,2,0.234946559550735,4,0.616486846984117
73,4,"animal",0,0,"animals",1,"a_102.png",102,"tbd",219.298470872134,221.316532423792,221.616797750359,0.937549472397367,0,2,0.245610939638937,4,0.311345744319624
74,2,"animal",0,1,"animals",1,"a_063.png",63,"tbd",221.933768915883,223.918438694562,224.068388792267,0.900458417850454,0,1,0.0987796964791414,3,0.284838279813812
75,4,"tool",0,0,"animals",1,"t_241.png",241,"tbd",224.368923146475,225.95331618435,226.270185026066,0.489998859903017,0,2,0.271741765448496,4,0.476119109525825
76,3,"animal",0,1,"animals",1,"a_079.png",79,"tbd",226.753892992053,228.805380528298,229.239055573387,0.953397636013672,0,2,0.386995694883808,4,0.198362221563002
77,2,"tool",0,1,"animals",1,"t_192.png",192,"tbd",229.455990754521,230.940287782185,231.007032140302,0.402079721551682,0,1,0.0272817910072263,3,0.272269868261901
78,4,"tool",0,0,"animals",1,"t_289.png",289,"tbd",231.290689908529,233.275375237939,233.375423662915,0.886446697092175,0,2,0.0631632359682044,4,0.744086190495182
79,3,"animal",0,1,"animals",1,"a_062.png",62,"tbd",234.126085735274,235.560379077415,235.910644046315,0.366147000617528,0,2,0.305232752088159,4,0.523969951893378
80,4,"tool",0,0,"animals",1,"t_242.png",242,"tbd",236.444507472956,238.412476077897,238.712700661549,0.878618249968155,0,2,0.257222981253108,4,0.515995848213606
81,4,"tool",0,0,"animals",1,"t_288.png",288,"tbd",239.246598610812,241.081117998374,241.398071125051,0.752797025961378,0,2,0.273729770858154,4,0.16974887710785
82,4,"animal",0,0,"animals",1,"a_165.png",165,"tbd",241.581646256695,243.299347311315,243.833197986357,0.616017382389109,0,2,0.484521480328112,3,0.262688130043898
